track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min,danceability_category,energy_category,valence_category,popularity_category,duration_categorys,year,category,nominee,artist,winner
7af1WixhIA44jYgzXU19da,Daddy Yankee;Bad Bunny,Bájale como 7500,Vuelve,2,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latin,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
1v1nsB6TCXuhdC4QNP4aB4,Daddy Yankee;Bad Bunny,Feliz Cumpleaños con Perreo,Vuelve,3,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latin,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7af1WixhIA44jYgzXU19da,Daddy Yankee;Bad Bunny,Bájale como 7500,Vuelve,2,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latin,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
3QAE1arPJAMVKt3NUqjikE,Juan Magán;Paulina Rubio;DCS,Queda poco para la PAES 2.0,Vuelve,0,213240,False,0.661,0.677,5,-6.467,1,0.0383,0.628,0.0,0.0793,0.959,174.068,4,latin,3.55,Media,Media,Positiva,Popularidad Baja,Duración_Media,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
6dLnAfi800mKEj2xryXQLt,Luciano Pereyra,Café en casa,Vuelve,0,237986,False,0.423,0.612,2,-6.238,1,0.0376,0.155,0.0,0.109,0.32,180.027,3,latin,3.97,Media,Media,Neutral,Popularidad Baja,Duración_Media,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7FNClArpU0MQIIkAU5VSwh,Daddy Yankee;Bad Bunny,Reggaeton Mix Perreito,Vuelve,5,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latino,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7af1WixhIA44jYgzXU19da,Daddy Yankee;Bad Bunny,Bájale como 7500,Vuelve,2,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latino,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
1v1nsB6TCXuhdC4QNP4aB4,Daddy Yankee;Bad Bunny,Feliz Cumpleaños con Perreo,Vuelve,3,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latino,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
3QAE1arPJAMVKt3NUqjikE,Juan Magán;Paulina Rubio;DCS,Queda poco para la PAES 2.0,Vuelve,0,213240,False,0.661,0.677,5,-6.467,1,0.0383,0.628,0.0,0.0793,0.959,174.068,4,latino,3.55,Media,Media,Positiva,Popularidad Baja,Duración_Media,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
0gCPvo1GkbtPhMqg5Gbx1K,Daddy Yankee;Bad Bunny,Vuelve,Vuelve,79,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.024,4,latino,4.66,Alta,Media,Negativa,Popularidad Alta,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7af1WixhIA44jYgzXU19da,Daddy Yankee;Bad Bunny,Bájale como 7500,Vuelve,2,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,reggae,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7FNClArpU0MQIIkAU5VSwh,Daddy Yankee;Bad Bunny,Reggaeton Mix Perreito,Vuelve,5,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,reggae,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
1v1nsB6TCXuhdC4QNP4aB4,Daddy Yankee;Bad Bunny,Feliz Cumpleaños con Perreo,Vuelve,3,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,reggae,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
6Kwo18gzpFZnZhlAwhn5cl,Sebastian Yatra;Beret,Café en casa,Vuelve,6,225213,False,0.692,0.49,11,-6.077,1,0.0464,0.466,0.0,0.109,0.255,155.831,4,reggae,3.75,Media,Media,Negativa,Popularidad Baja,Duración_Media,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
3QAE1arPJAMVKt3NUqjikE,Juan Magán;Paulina Rubio;DCS,Queda poco para la PAES 2.0,Vuelve,0,213240,False,0.661,0.677,5,-6.467,1,0.0383,0.628,0.0,0.0793,0.959,174.068,4,reggae,3.55,Media,Media,Positiva,Popularidad Baja,Duración_Media,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7af1WixhIA44jYgzXU19da,Daddy Yankee;Bad Bunny,Bájale como 7500,Vuelve,2,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,reggaeton,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7FNClArpU0MQIIkAU5VSwh,Daddy Yankee;Bad Bunny,Reggaeton Mix Perreito,Vuelve,5,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,reggaeton,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
1v1nsB6TCXuhdC4QNP4aB4,Daddy Yankee;Bad Bunny,Feliz Cumpleaños con Perreo,Vuelve,3,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,reggaeton,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
